	Year	Num	Non_EU_country	Sentence
40	1995	1212000e	['Canada', 'Switzerland']	Institutional arrangements: The Parties must consider whether to extend or make permanent the interim arrangements for the financial mechanism, currently operated by the GEF. INC-11 recommended extending the interim arrangements. Additionally, the designation and location of the Permanent Secretariat and guidance for the work of the two subsidiary bodies, the Subsidiary Body for Implementation (SBI) and the Subsidiary Body for Science and Technological Advice (SBSTA), will have to be decided. Bids to locate the Permanent Secretariat have been made by Canada, Germany, Switzerland and Uruguay.
29	1995	1214000e	['United States']	"The US highlighted the IPCC""s contribution of scientific information. Hereflected on the US action plan to reduce emissions implemented approximately sixmonths ago, including a pilot programme on Joint Implementation. He said thatcommitments are inadequate because there was no guidance on action beyond 2000,but the global nature of the problem requires broad international participation. Headded that a drafting group should work on a mandate to begin a negotiating processwithin the SBI, with the SBSTA working on an assessment for limiting GHGs.Slovakia said that existing commitments will not meet the Convention""sobjectives and called for negotiations on a protocol to conclude in 1997-98 and forAnnex I Parties to take the lead."
329	1995	1218000e	['United States']	The US, supported by New Zealand, thought further discussion was necessary. Heasked if it was necessary to set the agendas for all future COPs in paragraph 3(a) andwho will provide the advice to improve the operational modalities for the effectivetransfer of technology in paragraph 3(b). After several additional proposals by China,the Netherlands, the US and the Republic of Korea, the Chair noted that the discussionmust come to an end, closed the debate and suggested that the Committee adopt thetext with the original compromise suggested by the Republic of Korea, on behalf ofthe G-77 and China, and accepted by the EU. Despite protestations by the US that itsconcerns had not been addressed, the Chair gavelled this matter to a close and the textwas adopted.
763	1996	1231000e	['United States']	The Ad Hoc Group on Article 13 met in the morning to discuss a multilateralconsultative process (MCP). Under Agenda item 3 (election of officers other than theChair), the Chair explained that the COP President is involved in discussions to agree on abalanced list for subsidiary bodies. Under item 4(a) (panel summary), the Chairrecommended that his report on a panel presentation become an annex to the Sessionreport. The US noted that elements are not listed in order of priority. Under item 4(b)(synthesis), participants adopted a synthesis of responses to a questionnaire on establishinga MCP under Article 13 (FCCC/AG13/1996/1) to be considered at the Groups Decembersession. The EU regretted that substantive discussions will be postponed until then. Herecommended a draft decision extending the AG-13 mandate to COP-3 and a role inexamining ways to apply a MCP to a protocol in cooperation with AGBM. Under item4(c) (draft decisions), the Chair recommended draft decisions on the continuation of AG-13 and inviting the Group to report to COP-3. The Chair accepted a Saudi Arabiaproposal to replace a reference to the possible design of a MCP with one on reporting tothe COP as instructed.
764	1996	1231000e	['United States']	The G-77/CHINA requested a postponement of discussion. The EU and the US welcomedthe GEF report, especially the operational strategy and its emphasis on enabling activities,and, along with POLAND, supported designation of the GEF as the permanent fundingmechanism. FRANCE cautioned that failure to approve the funding document mighthinder input from the COP to the next GEF replenishment. The Chair postponeddiscussion until Thursday.
767	1996	1231000e	['Canada', 'United States']	Delegates then considered activities implemented jointly under the pilot phase. TheSecretariat introduced an annual review of progress (FCCC/CP/1996/14 and Add.1). TheG-77/CHINA and the EU were not prepared to speak on the issue. CANADA saidSBSTA should not significantly change the reporting format at this session. She endorsedcontinuation at the pilot phase, with further assessment at COP-3. The US recommendedadoption of the Progress Report and Addendum as the first annual report on AIJ, andexpressed willingness to host the initial workshop on methodological issues as proposedby the Secretariat. She supported the formation of an AIJ forum, and suggested thatParties provide submissions for annual reports three months in advance. JAPAN suggestedstandard operational procedures for AIJ projects, monitoring and revision and supportedthe workshop on methodologies.
765	1996	1231000e	['Norway']	The EU suggested a draft decision on the need for voluntary contributions to support theSecretariats activities. Under Agenda item 3(a), the Secretariat introduced a compilationof national communications from Annex 1 Parties (FCCC/CP/1996/12 and Adds.1 and 2)and a report on experiences and results of the review process on submission ofcommunications (FCCC/CP/1996/13). The SBI was invited to consider the report in detailand convey conclusions to the AGBM and COP-2. In-depth reviews are available fromJapan, Spain and Norway. Reports from Denmark and the Netherlands will be availablesoon.
218	1996	1234000e	['United States']	"The US proposed that Annex II Parties separately provide information in accordancewith or on each of their commitments under Articles 4.3-4.5, rather than to fulfilltheir commitments. They should also provide information on measures taken to promote,facilitate and finance access as appropriate. The Co-Chair of the contact grouprecommended that Annex II Parties give effect to rather than ""fulfill"" theircommitments. The Co-chairs proposal was adopted. The US suggested that Parties carryout as supplemental information adjustments on inventory data. This proposal was laterwithdrawn at DENMARKs urging. The text for the guidelines was then adopted."
766	1996	1231000e	['Canada', 'United States']	SBSTA then considered Agenda Item 7 (mechanisms for consultations with NGOs). ThePresident introduced the relevant documents (FCCC/SBSTA/1996/11 andFCCC/SBSTA/1996/ Misc.2). The EU, supported by JAPAN, strongly supported the roleof NGOs and remained open to tailoring different mechanisms for different NGOconstituencies. The US said expanding access to only one type of NGO would beinappropriate and suggested strengthening existing channels. NEW ZEALAND urged thedevelopment of a special consultative mechanism for business NGOs as they will play avital role in implementation. CANADA supported a business consultative mechanism if itwill facilitate implementation and opposed open access to NGOs on the floor duringnegotiations.
229	1996	1233000e	['United States']	The Subsidiary Body on Implementation reconvened Friday morning to further considerAgenda Item 3(a) (communications from Annex I Parties). AOSIS regretted that only fourAnnex I Parties will reach 1990 levels in light of the SAR. Developed countries areplaying a deadly losing game. The impact of the Communications Synthesis(FCCC/CP/1996/13) is to discredit the initial goal in favor of limiting future goals towhatever national economic circumstances permit. The EU noted its concern that only sixout of twenty-one in-depth review reports have been finalized. The US noted theSecretariat's concern about time and resources needed for in-depth reviews. It isimperative that second communications be submitted by April 1997.
219	1996	1234000e	['Russia']	The RUSSIAN FEDERATION stated that the summary should be adopted at an officialsession with interpretation and that the text should reflect the exact language submitted bydelegations. KUWAIT disagreed with a reference to the SAR as a clear indication of thelikelihood of climate change, and noted that the optimum strategy for addressing theproblem will depend on the circumstances of each country. The EU said that individualmembers of the EU will make interventions on specific points.
220	1996	1234000e	['Canada', 'United States', 'Norway']	Following a brief consultation with the G-77/CHINA, Saudi Arabia and the EU, the Chairamended a reference to the SAR as an assessment, rather than a clear indication of thelikelihood of climate change. He added a sentence noting large cost differentials ofreducing GHGs among countries, and inserted a reference to areas such as agriculture,water resources and human health in regard to the socio-economic impacts on developingcountries. The US, the MARSHALL ISLANDS, the EU, CANADA, NORWAY, JAPANand AOSIS voiced concern that the text was not balanced and asked that their objectionbe noted on the record. The Chair stated it was useless to continue deliberations on thisissue.
17	1996	1229000e	['United States', 'Israel']	Parties proceeded to the adoption of the Agenda (FCCC/CP/1996/1). Under Item 4 (a) onNational Communications from Parties Included in Annex 1, the President reported thatthe United Republic of Tanzania and Qatar are to become signatories to the FCCC beforethe end of the Conference, and Israel will become a non-Annex 1 Party in August. TheCzech Republic, Morocco, and Slovakia have applied to become Annex 1 Parties.Introducing Agenda Item 4 (b), Adoption of the Rules of Procedure, the President said hewould conduct consultations to resolve the issue of rule 42 (voting). SAUDI ARABIAsaid agreement on rule 22 (election of officers) is also pending. Rule 22 should be limitedto regional group representatives. The President said each of the five regional groups areto be represented by two Bureau members and one Bureau member will represent thesmall island developing states (SIDS). SAUDI ARABIA objected to the nomination of aBureau member from Samoa to represent SIDS. The US said it was important to followprecedent in the election of officers to the Bureau and include the SIDS nominee. Partiesproceeded to the election of the Bureau. GERMANY said the SIDS were represented inthe Bureau of the INC in 1991. SAUDI ARABIA said he could not support the electionsas proposed. The President postponed the election of vice-presidents.
762	1996	1231000e	['Russia', 'Canada']	The COP met in Plenary to discuss Agenda Items 4(d) and 4(f), election of officers otherthan the President, and the Ministerial Segment. The President reported that consultationson the rules of procedure would continue as new proposals have been introduced.Application of the draft rules will continue until a consensus is reached. The followingdelegates were elected: Alexander Bedritsky (Russian Federation), Rene CastroHernandez (Costa Rica), John Ashe (Antigua and Barbuda), Anthony Clark (Canada),Cornelia Quennet-Thielen (Germany), Tuiloma Neroni Slade (Samoa), and Abbas Naqi(Kuwait) as vice-presidents, and Antonio La Via (Philippines) as Rapporteur. SAUDIARABIA and KUWAIT expressed concern about the COPs failure to adopt rules ofprocedure and said that a compromise must be reached soon.
567	1996	1230000e	['Switzerland', 'United States']	Delegates began consideration of Agenda Item 4(a) (national communications of Annex IParties). The Secretariat introduced the document on possible revision of the guidelines(FCCC/SBSTA/1996/9). JAPAN, supported by the US, proposed a separate informalsession to discuss the revised guidelines. CHINA, supported by INDIA, highlighted theimportance of technology transfer and called for including language in the body of theguidelines. The EU approved extending the minimum information required andrecommended that the revised guidelines include direction for preferred timetables.POLAND and HUNGARY said second reports are being prepared and changingguidelines will lead to delays. SWITZERLAND proposed discussing amendments on aparagraph by paragraph basis. AUSTRALIA highlighted performance indicators.
18	1996	1229000e	['Russia', 'Canada']	Delegates then agreed on the admission of intergovernmental and non-governmentalorganisations as observers. Some delegations then returned to the election of officers andrequested clarification. The Executive Secretary stated that the COP had elected apresident in the morning session and, in the afternoon, heard nominations for 10 othermembers of the Bureau. For 6 of the 7 Vice-Presidents, delegates received thenominations of Alexander Bedritsky (Russian Federation) Rene Castro (Costa Rica), JohnAshe (Antigua and Barbuda), Anthony Clark (Canada), Cornelia Quennet-Theilen(Germany) and Tuiloma Neroni Slade (Samoa). Delegates also received the nominationsof Mohamed M. Ould El Ghaouth (Mauritania) as SBI Chair and Tibor Farago (Hungary)as SBSTA Chair. The representatives of the Asian Group presented nominations fromKuwait and the Philippines, but had not agreed which representative would serve asRapporteur and which as Vice-President. Delegates then discussed rule 22 as applied anda number of possibilities were put forward. It was suggested that the Parties elect the twoofficers for SBSTA and SBI. Regarding the other posts, he noted that the group now hasthe beginnings of a Bureau. He also noted that the two ad hoc groups, AGBMand AG13, already had chairs. SBSTA and SBI have only chairs and the COP has apresident. SAMOA questioned how the COP could proceed with only part of the Bureau.The President said that he will conduct consultations and resume the Plenary later todiscuss this item.
231	1996	1233000e	['Russia', 'United States']	POLICIES AND MEASURES: The session considered proposals for a protocolon policies and measures to implement FCCC. Debate centered on the pros and cons ofmandatory policies and measures and their market driven alternatives. The US said whileParties generally agree it is necessary to move forward, no single set of policies andmeasures could apply to all countries given diverging circumstances. He sought anindividual approach, noting the value of monitoring and reporting. The EU stated that acoordinated/mandatory approach would enhance progress by reducing participantsopportunity costs. He suggested categorization of policy measures and Party selection.The RUSSIAN FEDERATION called for categorization and prioritization.
232	1996	1233000e	['United Kingdom']	"The CZECH REPUBLIC sought assistance to countries with economies in transitionbecause their growth potential is substantial. URUGUAY called for solidarity and notedthat the COP continues to ""discuss the sex of angels"" while some countries are sufferingthe effects of inaction. The SIERRA CLUB stressed renewable energy projects rather thanrevenue intensive ones, coordinated fuel standards for vehicles and emissions targets.AUSTRALIA stated that the range of measures must be comprehensive and cautionedagainst selective sectoral processes in the absence of established criteria. NORWAYstressed sustainable production and consumption patterns and called on Parties to supportlifestyle changes. SAUDI ARABIA and IRAN supported a cooperative approach,particularly in addressing economic concerns, while the UK favored an individualistic one.KENYA recommended that policies and measures be market-driven."
506	1996	1235000e	['United States']	On the paragraph concerning the adoption of policies and measures, SAUDI ARABIAcalled for language noting the need for further studies. The EU proposed that action becoordinated rather than common or harmonized. KUWAIT said policies andmeasures should be assessed in terms of their economic costs and their impact ondeveloping countries. GERMANY and the US recommended that environmental costsand benefits be considered and EGYPT said their role in enhancing carbon sinks shouldalso be noted. The paragraph was adopted to reflect that several criteria were identifiedfor assessing policies and measures including their: potential to limit GHG emissions andenhance carbon sinks; economic costs and benefits; long and short term impact oneconomic growth in developing countries; and political feasibility as well as the need forcoordinated action.
507	1996	1235000e	['Canada', 'United States']	The Chair then proposed using the original text and noting that SBSTA took note of thetwo views on the SAR, rather than decides. Several delegations, including KUWAIT,CANADA, the MARSHALL ISLANDS, and the EU objected. The US, supported byAUSTRALIA, proposed language urging the COP to take a decision on the issue at thissession, and the EU objected.
233	1996	1233000e	['Russia']	QELROs: An afternoon Round Table considered Quantified EmissionsLimitations and Reduction Objectives (QELROs) with discussants from Germany, Japan,Samoa, the Russian Federation, the Philippines, and ABARE Commodity Forecasting andEconomic Policy Research. Supporters of targets proposed new GHG reduction targets of10% to 20% by 2005, and 15-20% by 2010, noted non-compliance with existingobjectives by developed countries, and suggested a purely cost-benefit approach will leadto further inaction. Others questioned the feasibility of a uniform reduction target orsuggested that the SAR demonstrates it is too early to judge limits and levels of reductionwithout an assessment of costs and benefits.
505	1996	1235000e	['United States']	The AGBM Chair invited comments on his Draft Conclusions (FCCC/AGBM/1996/L.2).The EU and Saudi Arabia objected to a reference to an equation to express linkagebetween policies and measures and QELROs. In a paragraph on elaboration of policiesand measures the US, supported by AUSTRALIA, objected to the inclusion of a menuapproach. FRANCE qualified a reference to harmonized policies and measures byprefacing the reference with and/or. GERMANY replaced mandatory with requiredapproach to policies and measures. AUSTRALIA incorporated sentences from the fourthparagraph, which notes the argument that no set of policies and measures may beappropriate for all Annex I Parties and concerns about competition.
564	1996	1230000e	['United States']	The Chair then introduced Agenda Item 7(b) on income and budget performance, andresource deployment for 1997 (FCCC/CP/1996/7 and Add.1). The Secretariat summarizedAdd.1 on the financial performance of the FCCC, contributions and expenditures in 1996,and the forecast for 1996-97. There will be an annual payment of DM1.5 million per yearfrom the German Government and lower staff costs arising from relocation to Bonn.Thirty-five Parties have paid contributions in full and expenditures are in line with COP-1estimates. Additional requirements for 1996 amount to US$158,000, and US$867,400 for1997. Germany will contribute an additional DM3.5 million annually to a special fund.Executive Secretary Michael Zammit-Cutajar noted that no additional core resources arebeing sought for 1997. He proposed a revision of the capital reserve level, up from 8.3%of the core budget to 15%. Responding to questions from the US and the EU, theSecretariat said budgeting beyond 1997 will be addressed at the next session of the SBI.No activity is given greater priority than in-depth reviews. JAPAN questioned theproposal to revise the level of working capital reserves. The Chair invited delegations tointeract with their capitals to resolve the issue. The SBI then recommended approval ofthe programme of work for 1996-1997 (FCCC/SBI/1996/11).
230	1996	1233000e	['United States']	The EU, supported by the US, suggested the Secretariat focus on voluntary private sectortechnology transfer and on enabling conditions for its transfer. The US recommendedreporting this in Annex I communications. CHINA stated that Annex II communicationsunder-emphasize technology transfer. BANGLADESH underlined the needs of LDCs.The MARSHALL ISLANDS highlighted technology adaptation. CHINA and EGYPTunderscored a governmental role.
339	1996	1232000e	['United States']	The Chair then introduced Agenda item 3 (national communications), including the secondcompilation of first national communications from Annex I Parties (FCCC/CP/ 1996/12and Add.1) and emission inventories and projections for 2000 (Add.2) and the reportingschedule (FCCC/CP/1996/13). The G-77/CHINA expressed concern that few developedcountries would reduce emissions to 1990 levels by 2000. The RUSSIAN FEDERATIONcalled for expanded analysis of GHG emissions. The EU, supported by AUSTRALIA, saidthe documents are the principal source to assess progress. The US called for GHGemissions significantly below 1990 levels and policies beyond no-regrets actions.
566	1996	1230000e	['Russia']	COSTA RICA, on behalf of the G-77/CHINA, said a clear mechanism must be establishedfor the use of scientific information, and noted that SBSTA should not be selective whenpresenting information. He said that the SAR clearly indicates the negative potentialimpacts on developing countries. The RUSSIAN FEDERATION said the SAR lacks aquantitative assessment of the permissible level of impact on the climate system. SAUDIARABIA, OMAN, KUWAIT, UAE, VENEZUELA, IRAN, NIGERIA and AUSTRALIAsaid it was premature to make recommendations given the lack of certainty in the SARdata. POLAND said that SBSTA should determine how scientific information may beutilized for the FCCC.
340	1996	1232000e	['Canada', 'United States']	On Agenda Item 8 (a) (roster of experts), the G-77/CHINA had not yet considered theitem and reserved its position. The EU supported establishing an interim roster of expertsto allow for a learning phase on providing specialized technical advice. He also acceptedthe addition of adaptation technologies to the list of potential subjects. CANADA, JAPANAUSTRALIA and AOSIS also supported the roster of experts. The RUSSIANFEDERATION said SBSTA should not focus on specific features and that the use ofscientific data is a basic question for the experts. KIRIBATI asked that fisheries bespecifically mentioned as a topic for consideration. The US said the issue should bedeferred until SBSTA clarifies the tasks for experts that do not duplicate the work ofother fora.
338	1996	1232000e	['Canada', 'Switzerland']	Several developed country delegations endorsed the Chairs text on the financialmechanism. SWITZERLAND and CANADA called for expedited funding for nationalcommunications. FRANCE suggested that Parties submit complaints about GEFperformance for review at future COP sessions. KENYA said many African countries areexperiencing excessive delays and linkage of projects to operational conditions notrequired by FCCC.
565	1996	1230000e	['Canada', 'United States', 'Norway']	The EU recalled that the preliminary views of delegations concerning the SAR wererecorded in the report of the last meeting. He urged the COP to endorse the SAR andaccept it as the most comprehensive assessment of available scientific information onclimate change. Many also expressed support for the SAR and made specific comments,including the US, CANADA, ARGENTINA, the REPUBLIC OF KOREA, COLOMBIA,NEW ZEALAND, BANGLADESH, NORWAY, FIJI, URUGUAY, MAURITIUS,JAPAN, BENIN, MYANMAR, BULGARIA and GREENPEACE. SAMOA, on behalf ofAOSIS, supported adoption of the SAR and noted the conclusion that SIDS are amongthe most vulnerable to climate change. This was seconded by MICRONESIA, theMALDIVES, the MARSHALL ISLANDS and NIUE.
508	1996	1235000e	['Canada', 'United States']	SBSTA also considered the draft decisions of the contact group on communications fromnon-Annex I Parties, which incorporates several additional responsibilities. BRAZIL saidthat the contact group decided that its work would not be prejudiced by the COPsdecision on guidelines for initial communications on the abatement of emissions. Severaldelegations, including CHINA, KUWAIT, INDIA, COSTA RICA, the PHILIPPINES,CANADA, the US and JAPAN, endorsed the decisions and acknowledged thecooperative efforts of non-Annex I Parties. The EU recognized the added responsibilitiesfor non-Annex I Parties. The PHILIPPINES also linked the expanded commitments ofnon-Annex I Parties to their potential role in obtaining funding.
342	1996	1232000e	['Canada']	The NETHERLANDS and the INTERNATIONAL ENERGY AGENCY described theClimate Technology Initiative, a cooperative effort to support the FCCC. CHINAsuggested the Secretariat prepare a proposal on the format for their communication fromAnnex II on technology transfer. CANADA said governments must provide an enablingenvironment for the private sector to facilitate technology transfer.
341	1996	1232000e	['Canada', 'United States']	SBSTA resumed in the afternoon to consider Agenda Item 8(d) (long-term work ofSBSTA). The Chair introduced text which was accepted. On Agenda Item 8(c)(cooperation with IPCC), several delegations including the EU, AUSTRALIA, US,CANADA, MYANMAR and MAURITIUS endorsed the IPCC. The RUSSIANFEDERATION encouraged clarification of SBSTAs relationship to the IPCC concerningthe use of data. BURKINA FASO called on the IPCC to expand research on regionalGHG emission limitations. The ICAO sought additional research on the atmosphericeffects of aviation. The Chair offered text on the item, which was accepted.
295	1997	enb1273e	['Norway', 'Switzerland', 'United States', 'Russia', 'Canada']	Antonio La Viña (Philippines) introduced a revised non- paper on sinks, containing only text relating to Option C of previous non-papers (accounting for limited sink activities to offset emissions). JAPAN, BARBADOS, RUSSIA, the US, CANADA, CUBA and JAMAICA supported the text. NEW ZEALAND, supported by AUSTRALIA, the US and NORWAY, called for an earlier text to be kept as an option for ministers. The Chair noted that the text had not been formally introduced, but agreed to keep it as a source. The MARSHALL ISLANDS, SWITZERLAND, BARBADOS and MALAYSIA objected. The US proposed adding “for the first commitment period” to a paragraph on when sink activities would be allowed. The EU put the whole paragraph in brackets. SAMOA, with TUVALU, signaled a possible reservation on the paragraph if other texts are left as options.
353	1997	enb1268e	['Canada']	The provisional agenda (FCCC/CP/1997/1), annotations on the organization of work (FCCC/CP/1997/1/Add.1), the list of documents (FCCC/CP/1997/1/Add.2), and a document on the high level segment (FCCC/CP/1997/L.1) were adopted. On election of officers other than President, delegates elected Bakary Kante SENEGAL) SBI Chair, a representative of IRAN SBI Vice Chair, George Manful (GHANA), T. Gzirishvili (GEORGIA), Anthony Clarke (CANADA), Cornelia Quennet- Thielen (GERMANY), Sergio Selaya Bonilla (HONDURAS), Luis Herrera (VENEZUELA), Kok Kee Chow (MALAYSIA) and Espen Ronneberg (MARSHALL ISLANDS), Vice Presidents, and Maciej Sadowski (POLAND) Rapporteur.
588	1997	enb1267e	['Russia', 'United Kingdom']	The UK asked that the distinction between the three-gas and six-gas approaches be maintained. HUNGARY supported using a three-gas basket, and addressing the three additional gases later. EGYPT reserved the right to consult within the G-77/China, which will provide a joint statement. The RUSSIAN FEDERATION preferred the three-gas approach at this stage. He said that if the basket includes more than three gases, then obligations must be considered further and there must be flexibility. TANZANIA highlighted the G-77/China proposal, which would call upon Parties to reduce emissions of three gases and make efforts to control and phase out the other three.
